TABLEAU P3D - INDICATEURS GÉNÉRAUX DE POPULATION PAR DÉPARTEMENT ET RÉGION;;;;;
;;;;;
;;;;Espérance de vie à la naissance (b);
Départements et régions;Indicateur conjoncturel de fécondité (a);Proportion de naissances hors mariage (a);Âge moyen à l'accouchement (a);Hommes;Femmes
Paris;1,51;48,5;33,9;81,9;86,9
Seine-et-Marne;2,00;59,0;30,9;80,4;85,3
Yvelines;2,07;48,0;31,7;82,1;86,5
Essonne;2,17;54,9;31,0;81,6;86,2
Hauts-de-Seine;1,80;40,3;32,6;82,4;86,8
Seine-Saint-Denis;2,34;44,7;31,1;80,0;85,1
Val-de-Marne;1,98;47,2;31,9;81,2;86,3
Val-d'Oise;2,31;46,6;31,1;80,4;85,4
Ile-de-France;1,94;48,2;31,9;81,3;86,2
Cher;1,92;70,4;29,7;77,6;84,8
Eure-et-Loir;2,00;63,5;30,1;79,0;84,9
Indre;1,82;72,0;29,7;78,9;84,3
Indre-et-Loire;1,69;66,6;30,8;80,2;85,8
Loir-et-Cher;1,87;67,8;29,6;79,5;85,5
Loiret;2,00;61,8;30,1;79,7;85,3
Centre-Val de Loire;1,87;65,5;30,3;79,3;85,2
Côte-d Or;1,59;63,7;31,0;80,5;86,0
Doubs;1,75;59,4;30,5;80,1;85,1
Jura;1,88;66,8;29,8;79,3;85,6
Nièvre;1,75;71,5;29,7;77,9;84,0
Haute-Saône;1,82;69,0;29,5;78,4;85,5
Saône-et-Loire;1,85;63,2;29,8;78,8;85,6
Yonne;1,96;66,5;29,6;78,3;83,4
Territoire de Belfort;1,84;55,3;30,4;78,6;85,0
Bourgogne-Franche-Comté;1,76;63,7;30,2;79,2;85,1
Calvados;1,67;70,4;30,6;79,0;85,2
Eure;1,92;68,8;29,6;78,2;84,4
Manche;1,85;74,0;29,7;78,7;85,4
Orne;1,84;72,0;29,4;78,6;85,3
Seine-Maritime;1,86;65,5;30,2;78,3;84,6
Normandie;1,82;68,6;30,1;78,5;84,9
Aisne;1,90;71,1;29,2;77,0;83,3
Nord;1,84;60,9;30,3;77,8;84,1
Oise;1,93;62,2;30,1;79,2;84,6
Pas-de-Calais;1,89;72,3;29,1;77,1;83,6
Somme;1,66;70,5;30,1;77,7;83,8
Hauts-de-France;1,85;65,3;29,8;77,7;84,0
Ardennes;1,85;72,1;28,9;77,9;84,2
Aube;1,80;68,6;29,8;78,1;84,5
Marne;1,77;65,2;30,3;78,5;85,0
Haute-Marne;1,72;72,5;29,1;77,9;84,4
Meurthe-et-Moselle;1,54;62,3;30,7;79,4;84,8
Meuse;1,73;73,8;29,1;78,2;84,4
Moselle;1,66;56,7;30,1;78,9;83,9
Bas-Rhin;1,64;53,1;31,0;80,2;85,5
Haut-Rhin;1,76;52,6;30,3;80,3;85,1
Vosges;1,78;72,0;29,4;77,9;85,1
Grand Est;1,68;60,2;30,3;79,2;84,8
Loire-Atlantique;1,83;65,4;30,8;79,6;85,9
Maine-et-Loire;1,83;67,3;30,3;80,5;86,5
Mayenne;1,99;71,2;29,6;80,4;86,3
Sarthe;1,93;70,7;29,9;79,6;85,6
Vendée;1,83;72,8;30,0;79,4;85,6
Pays de la Loire;1,85;68,2;30,4;79,8;86,0
Côtes-d'Armor;1,90;75,2;29,9;77,9;84,9
Finistère;1,72;71,8;30,6;78,3;85,0
Ille-et-Vilaine;1,73;67,5;31,1;80,4;86,2
Morbihan;1,85;72,8;30,3;78,4;85,2
Bretagne;1,77;71,0;30,6;78,8;85,4
Charente;1,74;72,1;29,6;79,0;84,9
Charente-Maritime;1,70;75,2;30,1;79,0;85,3
Corrèze;1,70;69,0;30,0;79,3;85,0
Creuse;1,68;78,4;29,3;76,4;84,3
Dordogne;1,68;73,6;29,8;79,0;85,0
Gironde;1,61;64,0;31,4;80,2;85,9
Landes;1,77;73,2;30,2;80,4;85,4
Lot-et-Garonne;1,87;63,2;30,0;79,5;85,8
Pyrénées-Atlantiques;1,60;69,7;31,3;80,6;85,9
Deux-Sèvres;1,86;73,6;29,6;79,8;85,2
Vienne;1,62;72,6;30,6;80,0;86,0
Haute-Vienne;1,71;69,6;30,4;79,4;85,7
Nouvelle-Aquitaine;1,67;69,2;30,5;79,7;85,6
Ariège;1,72;73,1;29,8;78,9;85,4
Aude;1,80;69,4;29,7;79,9;85,2
Aveyron;1,74;69,4;30,4;81,3;85,9
Gard;1,93;60,9;30,3;79,7;85,4
Haute-Garonne;1,61;60,6;31,7;81,3;86,3
Gers;1,68;70,5;30,3;79,6;85,8
Hérault;1,71;60,4;31,1;80,4;85,7
Lot;1,69;74,6;29,9;79,7;85,5
Lozère;1,59;71,8;30,5;78,5;84,5
Hautes-Pyrénées;1,71;73,5;30,0;80,3;85,6
Pyrénées-Orientales;1,79;68,7;29,9;78,6;85,2
Tarn;1,79;70,4;30,3;80,9;86,1
Tarn-et-Garonne;1,98;66,1;29,6;79,8;85,5
Occitanie;1,71;64,2;30,8;80,3;85,7
Ain;1,85;56,4;30,2;81,3;85,9
Allier;1,83;73,4;29,6;78,1;85,2
Ardèche;1,97;68,5;29,9;79,3;85,3
